Temperature,Rainfall,Soil_pH,Soil_Moisture,Fertilizer_Used,Crop_Type,Yield
27.49080237694725,137.02658576772393,6.285117051207718,23.45405988417796,135.7993817425389,Maize,3.5133884701977776
39.01428612819832,208.3801894756716,6.240936397215999,25.933627943827446,170.81484939499796,Maize,1.7364052934438279
34.6398788362281,274.58916717528166,8.21876374156311,15.00935797584998,164.02413946852386,Maize,1.4226013817957228
31.973169683940732,246.44497728191223,6.248638599548518,22.497481992139978,73.08498570406606,Wheat,4.251403886147031
23.12037280884873,261.31222957228994,6.315849178385893,21.434919662874975,72.38742046122108,Maize,3.315025905439997
23.119890406724053,231.75667334214347,7.7781947872538915,26.65660753576542,90.226155161737,Rice,3.4731400840548794
21.161672243363988,238.4553129035705,6.84921952735162,28.12174120962521,104.16120895115557,Maize,4.125848355018837
37.3235229154987,269.83913031306383,7.830131670865544,10.243135429547737,111.26833721127238,Rice,3.8131089109298064
32.022300234864176,149.93360177183717,5.696098472693156,23.480398381175853,151.9545825250018,Maize,4.337833011424387
34.161451555920905,197.8849927286281,6.962713581020153,11.03671598239458,58.50206482487531,Maize,1.224855621839514
20.411689885916047,144.24188836392045,5.600840800549848,20.97717330154712,55.200905633909954,Rice,3.9900825469860193
39.39819704323989,297.53360159932936,5.687959610366064,15.752654580873564,108.78658444158636,Maize,4.403411029288382
36.648852816008436,288.81186793732263,8.219312360033232,16.135531990442825,154.57455382069708,Maize,2.1445401698332573
24.246782213565524,107.88536227370118,5.9177361133527855,17.05917006904713,79.01530144347238,Maize,3.5617890959730114
23.636499344142013,241.11503450313768,7.0972620468256515,22.425848980992203,146.22567218843776,Wheat,2.2566482553478884
23.668090197068675,285.04966348313314,6.73328680780212,16.680999313375384,88.97422069104492,Rice,4.831884265929816
26.084844859190753,136.1150690254667,6.542029978776528,24.65398101180561,182.91291632202746,Maize,1.133694289742015
30.495128632644757,213.58904611052589,8.199500037061817,18.09054771147739,184.35349163999248,Rice,3.31917137533182
28.638900372842315,283.09765951760835,5.565470190326469,11.367064006199172,94.59308064219897,Rice,1.6660141881980604
25.824582803960837,106.78919571715977,7.491369058526767,25.675196849682145,84.49906309448608,Rice,3.8488808207086347
32.23705789444759,239.484053449368,8.39018330264065,15.71516649185412,111.69559580993469,Maize,1.7035611336746483
22.789877213040835,159.46980147451015,7.180504550385526,18.65533759198525,86.0797377770223,Maize,1.9415330475934303
25.842892970704362,284.8792390753061,8.310467386099276,23.70887766443803,150.85757649375554,Rice,2.9774832441830323
27.327236865873836,294.2116490330735,5.6567736378580715,16.64912314297424,173.90970268224282,Wheat,4.659339799987512
29.12139968434072,288.8532978226868,6.756379957222484,11.131713122934313,150.96381963668256,Rice,1.8468574885918834
